x,vel_8ms
"-88,975","1,00288"
"-76,346","0,99928"
"-65,106","0,99619"
"-56,77","0,99256"
"-42,497","0,97575"
"-37,822","0,96621"
"-32,893","0,94849"
"-27,205","0,92214"
"-22,651","0,88534"
"-18,599","0,83764"
"-13,144","0,72452"
"-9,202","0,60231"
"-6,017","0,47693"
"-4,739","0,41105"
"-1,429","0,28794"
"0,476","0,24205"
"4,275","0,19435"
"6,045","0,18481"
"16,527","0,18163"
"20,694","0,183"
"24,609","0,17891"
"26,379","0,17346"
"27,77","0,1621"
"29,287","0,15619"
"33,077","0,14665"
"38,004","0,13802"
"42,426","0,13121"
"49,499","0,12485"
"57,455","0,12348"
"88,141","0,12121"
"126,405","0,12121"
"225,03","0,11849"
"259,758","0,11758"
"275,921","0,11894"
