x,vel_25ms
"-89,876","1,00238"
"-74,717","0,99831"
"-57,536","0,99322"
"-50,209","0,98562"
"-43,009","0,97852"
"-34,039","0,95928"
"-26,084","0,92077"
"-22,073","0,89106"
"-18,564","0,8509"
"-14,252","0,77059"
"-10,342","0,6686"
"-8,036","0,58789"
"-5,629","0,48109"
"-3,624","0,40721"
"-0,716","0,29277"
"0,788","0,26186"
"2,192","0,24057"
"4,097","0,21768"
"8,208","0,20362"
"15,326","0,2004"
"21,142","0,20039"
"23,147","0,19717"
"24,551","0,18593"
"26,055","0,17509"
"27,258","0,14899"
"28,461","0,12128"
"29,564","0,08996"
"30,868","0,06266"
"33,274","0,04699"
"41,195","0,04377"
"48,815","0,04014"
"71,977","0,03688"
"99,25","0,03804"
"130,733","0,03919"
"151,99","0,03754"
"208,44","0,03704"
"250,351","0,03897"
"279,228","0,03892"
