x,Curve1
"0,2131","1,06512"
"0,4798","1,08706"
"0,8897","1,06903"
"1,3969","1,06286"
"1,9312","1,05998"
"2,4654","1,0571"
"2,9997","1,05421"
"3,5339","1,05133"
"4,0682","1,04844"
"4,6024","1,04556"
"5,0922","1,04926"
"5,4747","1,06886"
"5,8573","1,08846"
"6,2398","1,10806"
"6,6223","1,12766"
"7,0048","1,14726"
"7,3873","1,16686"
"7,7699","1,18646"
"8,1524","1,20606"
"8,5349","1,22567"
"8,9174","1,24527"
"9,2999","1,26487"
"9,6825","1,28447"
"10,0645","1,30409"
"10,4201","1,32502"
"10,7757","1,34594"
"11,1312","1,36687"
"11,4868","1,38779"
"11,8424","1,40872"
"12,198","1,42964"
"12,5535","1,45057"
"12,9091","1,47149"
"13,2647","1,49242"
"13,6202","1,51335"
"13,9758","1,53427"
"14,3314","1,5552"
"14,6869","1,57612"
"15,0411","1,59711"
"15,3742","1,61901"
"15,7074","1,6409"
"16,0406","1,6628"
"16,3738","1,6847"
"16,7069","1,7066"
"17,0401","1,72849"
"17,3733","1,75039"
"17,7065","1,77229"
"18,0397","1,79418"
"18,3728","1,81608"
"18,706","1,83798"
"19,0392","1,85988"
"19,3724","1,88177"
"19,7055","1,90367"
"20,0387","1,92557"
"20,3711","1,9475"
"20,7034","1,96943"
"21,0356","1,99136"
"21,3679","2,0133"
"21,7002","2,03523"
"22,0325","2,05717"
"22,3648","2,0791"
"22,697","2,10103"
"23,0293","2,12297"
"23,3616","2,1449"
"23,6939","2,16684"
"24,0261","2,18877"
"24,3584","2,2107"
"24,6907","2,23264"
"25,023","2,25457"
"25,3575","2,27641"
"25,6919","2,29826"
"26,0263","2,32011"
"26,3608","2,34195"
"26,6952","2,3638"
"27,0297","2,38564"
"27,3641","2,40749"
"27,6985","2,42933"
"28,033","2,45118"
"28,3674","2,47302"
"28,7018","2,49487"
"29,0363","2,51671"
"29,3707","2,53856"
"29,7051","2,5604"
