x,Curve1
"0,2128","1,05091"
"0,6942","1,07124"
"1,1934","1,08633"
"1,7276","1,09124"
"2,2617","1,09615"
"2,7958","1,10106"
"3,33","1,10597"
"3,8641","1,11088"
"4,3983","1,11579"
"4,9324","1,1207"
"5,342","1,1478"
"5,7221","1,18017"
"6,1022","1,21253"
"6,4823","1,24489"
"6,8623","1,27726"
"7,2424","1,30962"
"7,6225","1,34198"
"8,0026","1,37435"
"8,3827","1,40671"
"8,7628","1,43907"
"9,1428","1,47144"
"9,5229","1,5038"
"9,903","1,53617"
"10,2291","1,57244"
"10,5417","1,60969"
"10,8543","1,64694"
"11,1669","1,68419"
"11,4795","1,72144"
"11,7921","1,75869"
"12,1047","1,79594"
"12,4174","1,83319"
"12,73","1,87044"
"13,0426","1,90769"
"13,3552","1,94494"
"13,6678","1,98219"
"13,9804","2,01944"
"14,2931","2,05669"
"14,6057","2,09394"
"14,9183","2,13119"
"15,2584","2,16659"
"15,6089","2,20131"
"15,9593","2,23602"
"16,3098","2,27073"
"16,6603","2,30544"
"17,0107","2,34015"
"17,3612","2,37486"
"17,7117","2,40957"
"18,0621","2,44428"
"18,4126","2,47899"
"18,7631","2,5137"
"19,1135","2,54841"
"19,464","2,58313"
"19,8145","2,61784"
"20,1688","2,65225"
"20,5293","2,68621"
"20,8898","2,72016"
"21,2503","2,75412"
"21,6108","2,78807"
"21,9713","2,82203"
"22,3318","2,85598"
"22,6923","2,88994"
"23,0528","2,92389"
"23,4133","2,95785"
"23,7738","2,9918"
"24,1343","3,02576"
"24,4948","3,05971"
"24,8553","3,09367"
"25,2156","3,12764"
"25,5757","3,16162"
"25,9358","3,19561"
"26,2959","3,2296"
"26,656","3,26359"
"27,0161","3,29757"
"27,3761","3,33156"
"27,7362","3,36555"
"28,0963","3,39953"
"28,4564","3,43352"
"28,8165","3,46751"
"29,1766","3,50149"
"29,5366","3,53548"
"29,8967","3,56947"
