x,Curve1
"0,1529","0,77028"
"0,6427","0,78883"
"1,1399","0,79542"
"1,5526","0,83274"
"1,9653","0,87006"
"2,3781","0,90738"
"2,7908","0,94471"
"3,2035","0,98203"
"3,6162","1,01935"
"4,0289","1,05668"
"4,4416","1,094"
"4,8544","1,13132"
"5,1894","1,17584"
"5,4645","1,22592"
"5,7396","1,27599"
"6,0147","1,32606"
"6,2899","1,37614"
"6,565","1,42621"
"6,8401","1,47628"
"7,1152","1,52635"
"7,3903","1,57643"
"7,6654","1,6265"
"7,9406","1,67657"
"8,2157","1,72665"
"8,4908","1,77672"
"8,7659","1,82679"
"9,041","1,87687"
"9,3162","1,92694"
"9,5913","1,97701"
"9,8664","2,02708"
"10,125","2,07813"
"10,364","2,13034"
"10,603","2,18255"
"10,8419","2,23476"
"11,0809","2,28697"
"11,3199","2,33918"
"11,5588","2,3914"
"11,7978","2,44361"
"12,0368","2,49582"
"12,2758","2,54803"
"12,5147","2,60024"
"12,7537","2,65245"
"12,9927","2,70466"
"13,2316","2,75687"
"13,4706","2,80908"
"13,7096","2,86129"
"13,9486","2,9135"
"14,1875","2,96571"
"14,4265","3,01792"
"14,6655","3,07013"
"14,9044","3,12234"
"15,1816","3,17215"
"15,4805","3,22059"
"15,7794","3,26903"
"16,0783","3,31747"
"16,3772","3,36592"
"16,6761","3,41436"
"16,9751","3,4628"
"17,274","3,51124"
"17,5729","3,55968"
"17,8718","3,60812"
"18,1707","3,65657"
"18,4696","3,70501"
"18,7685","3,75345"
"19,0674","3,80189"
"19,3663","3,85033"
"19,6652","3,89877"
"19,9642","3,94722"
"20,4457","3,95978"
"20,9825","3,9615"
"21,5193","3,96322"
"22,0561","3,96494"
"22,5929","3,96666"
"23,1297","3,96839"
"23,6665","3,97011"
"24,2033","3,97183"
"24,7401","3,97355"
"25,2769","3,97527"
"25,8137","3,97699"
"26,3504","3,97871"
"26,8872","3,98043"
"27,424","3,98215"
"27,9608","3,98387"
"28,4976","3,98559"
"29,0344","3,98731"
"29,5712","3,98903"
